nome,instituicao_ensino_aluno,idade_aluno,anos_pm,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,ano,fase,turma,sinalizador_ingressante,rec_equipe_1,rec_equipe_2,rec_equipe_3,rec_equipe_4,nivel_ideal,defasagem,ano_ingresso,bolsista,cg,cf,ct,nota_port,nota_mat,nota_ing,qtd_aval,rec_ava_1,rec_ava_2,rec_ava_3,rec_ava_4,indicado_bolsa,grupo_fase,saiu,atencao,destaque
ALUNO-1,Escola Pública,11,2,False,7.883752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.500020000000001,8.7,7.5,7.0,5.9375,7.75,10.0,2020,2,H,,,,,,,,,True,,,,,,,,,,,,,Fases 1-7,False,False,False
ALUNO-3,Escola Pública,12,2,False,7.856389666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91667,8.9,7.5,5.5,8.125,8.111113333333334,10.0,2020,3,H,,,,,,,,,True,,,,,,,,,,,,,Fases 1-7,False,False,False
ALUNO-4,Escola Pública,10,2,False,5.076252,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,4.1,6.875,0.0,7.1875,7.75,5.0,2020,1,D,,,,,,,,,True,,,,,,,,,,,,,Fases 1-7,True,False,False
ALUNO-5,Escola Pública,10,1,False,8.077085,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.50002,8.0,7.5,7.5,8.4375,8.166665,10.0,2020,2,M,,,,,,,,,True,,,,,,,,,,,,,Fases 1-7,False,False,False
ALUNO-8,Rede Decisão/União,14,3,True,8.381390666666668,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.33334,9.9,4.375,7.333333333333333,8.749999999999998,8.94445,10.0,2020,4,L,,,,,,,,,True,,,,,,,,,,,,,Fases 1-7,False,False,False
ALUNO-10,Escola Pública,13,1,False,5.1618745,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,5.83333,5.2,3.75,0.0,7.96875,6.8333325,10.0,2020,3,B,,,,,,,,,True,,,,,,,,,,,,,Fases 1-7,True,False,False
ALUNO-11,Escola Pública,8,0,True,9.712502,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,10.0,8.125,10.0,10.0,10.0,10.0,2020,0,A,,,,,,,,,True,,,,,,,,,,,,,Fases 1-7,False,False,True
ALUNO-12,Rede Decisão/União,14,3,False,5.838887333333334,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,6.25,6.0,5.625,6.666666666666667,5.624999999999999,5.277770000000001,5.0,2020,3,G,,,,,,,,,True,,,,,,,,,,,,,Fases 1-7,True,False,False
ALUNO-14,Escola Pública,11,2,False,6.434585,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.000020000000001,7.6,6.875,0.0,8.4375,7.916665,10.0,2020,2,M,,,,,,,,,True,,,,,,,,,,,,,Fases 1-7,True,False,False
ALUNO-15,Escola Pública,12,1,False,5.162502,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,4.0,7.5,0.0,8.125,7.25,5.0,2020,2,D,,,,,,,,,True,,,,,,,,,,,,,Fases 1-7,True,False,False
